country_name,date,action_form
austria,2000-01-01,demonstrations
austria,2000-01-01,"petitions, symbolic actions"
austria,2000-01-01,demonstrations
austria,2000-01-13,"petitions, symbolic actions"
austria,2000-02-01,demonstrations
austria,2000-02-02,demonstrations
austria,2000-02-03,demonstrations
austria,2000-02-03,violent protest
austria,2000-02-04,violent protest
austria,2000-02-04,demonstrations
austria,2000-02-04,demonstrations
austria,2000-02-04,demonstrations
austria,2000-02-04,demonstrations
austria,2000-02-04,demonstrations
austria,2000-02-05,demonstrations
austria,2000-02-05,demonstrations
austria,2000-02-05,demonstrations
austria,2000-02-05,violent protest
austria,2000-02-05,violent protest
austria,2000-02-05,demonstrations
austria,2000-02-06,demonstrations
austria,2000-02-06,demonstrations
austria,2000-02-07,"petitions, symbolic actions"
austria,2000-02-07,"petitions, symbolic actions"
austria,2000-02-07,demonstrations
austria,2000-02-07,"petitions, symbolic actions"
austria,2000-02-07,"petitions, symbolic actions"
austria,2000-02-07,"petitions, symbolic actions"
austria,2000-02-07,"petitions, symbolic actions"
austria,2000-02-08,demonstrations
austria,2000-02-09,demonstrations
austria,2000-02-10,demonstrations
austria,2000-02-10,"petitions, symbolic actions"
austria,2000-02-11,demonstrations
austria,2000-02-11,demonstrations
austria,2000-02-11,demonstrations
austria,2000-02-12,demonstrations
austria,2000-02-12,demonstrations
austria,2000-02-12,demonstrations
austria,2000-02-12,demonstrations
austria,2000-02-12,demonstrations
austria,2000-02-14,"confrontations, blockades"
austria,2000-02-18,demonstrations
austria,2000-02-19,demonstrations
austria,2000-02-19,demonstrations
austria,2000-02-19,violent protest
austria,2000-02-19,"petitions, symbolic actions"
austria,2000-02-23,violent protest
austria,2000-02-24,demonstrations
austria,2000-02-25,demonstrations
austria,2000-02-26,demonstrations
austria,2000-03-02,"petitions, symbolic actions"
austria,2000-03-02,demonstrations
austria,2000-03-08,demonstrations
austria,2000-03-09,demonstrations
austria,2000-03-13,"petitions, symbolic actions"
austria,2000-03-15,"petitions, symbolic actions"
austria,2000-03-16,demonstrations
austria,2000-03-23,demonstrations
austria,2000-03-30,demonstrations
austria,2000-03-31,"petitions, symbolic actions"
austria,2000-04-01,demonstrations
austria,2000-04-01,demonstrations
austria,2000-04-03,"confrontations, blockades"
austria,2000-04-13,demonstrations
austria,2000-04-20,demonstrations
austria,2000-04-21,"petitions, symbolic actions"
austria,2000-05-01,demonstrations
austria,2000-05-11,demonstrations
austria,2000-05-13,demonstrations
austria,2000-05-20,demonstrations
austria,2000-05-20,violent protest
austria,2000-05-25,demonstrations
austria,2000-06-10,other protest
austria,2000-06-15,demonstrations
austria,2000-06-15,"confrontations, blockades"
austria,2000-06-17,demonstrations
austria,2000-06-23,"confrontations, blockades"
austria,2000-06-28,strikes
austria,2000-06-28,demonstrations
austria,2000-06-28,strikes
austria,2000-07-01,demonstrations
austria,2000-07-01,demonstrations
austria,2000-07-04,demonstrations
austria,2000-07-23,demonstrations
austria,2000-08-01,"confrontations, blockades"
austria,2000-08-10,demonstrations
austria,2000-08-25,"confrontations, blockades"
austria,2000-09-01,"confrontations, blockades"
austria,2000-09-02,"confrontations, blockades"
austria,2000-09-02,"confrontations, blockades"
austria,2000-09-02,"confrontations, blockades"
austria,2000-09-02,demonstrations
austria,2000-09-06,demonstrations
austria,2000-09-08,"confrontations, blockades"
austria,2000-09-08,demonstrations
austria,2000-09-08,demonstrations
austria,2000-09-08,"confrontations, blockades"
austria,2000-09-08,"confrontations, blockades"
austria,2000-09-08,demonstrations
austria,2000-09-08,"confrontations, blockades"
austria,2000-09-08,"confrontations, blockades"
austria,2000-09-08,demonstrations
austria,2000-09-08,"confrontations, blockades"
austria,2000-09-08,demonstrations
austria,2000-09-10,"confrontations, blockades"
austria,2000-09-12,demonstrations
austria,2000-09-12,"petitions, symbolic actions"
austria,2000-09-14,demonstrations
austria,2000-09-15,"confrontations, blockades"
austria,2000-09-15,demonstrations
austria,2000-09-15,"confrontations, blockades"
austria,2000-09-15,"confrontations, blockades"
austria,2000-09-18,demonstrations
austria,2000-09-20,demonstrations
austria,2000-09-20,demonstrations
austria,2000-09-20,"petitions, symbolic actions"
austria,2000-09-22,"confrontations, blockades"
austria,2000-09-22,"confrontations, blockades"
austria,2000-09-22,"confrontations, blockades"
austria,2000-09-22,"confrontations, blockades"
austria,2000-09-22,"confrontations, blockades"
austria,2000-09-22,demonstrations
austria,2000-09-22,"confrontations, blockades"
austria,2000-09-22,"confrontations, blockades"
austria,2000-09-22,demonstrations
austria,2000-09-22,"confrontations, blockades"
austria,2000-09-22,"confrontations, blockades"
austria,2000-09-28,demonstrations
austria,2000-09-28,demonstrations
austria,2000-09-29,demonstrations
austria,2000-09-29,"petitions, symbolic actions"
austria,2000-10-01,demonstrations
austria,2000-10-01,"petitions, symbolic actions"
austria,2000-10-01,"confrontations, blockades"
austria,2000-10-02,demonstrations
austria,2000-10-02,"confrontations, blockades"
austria,2000-10-05,demonstrations
austria,2000-10-06,demonstrations
austria,2000-10-06,"confrontations, blockades"
austria,2000-10-06,demonstrations
austria,2000-10-06,demonstrations
austria,2000-10-06,"petitions, symbolic actions"
austria,2000-10-06,"confrontations, blockades"
austria,2000-10-07,"confrontations, blockades"
austria,2000-10-07,"confrontations, blockades"
austria,2000-10-08,demonstrations
austria,2000-10-08,"confrontations, blockades"
austria,2000-10-08,"confrontations, blockades"
austria,2000-10-08,"confrontations, blockades"
austria,2000-10-08,demonstrations
austria,2000-10-08,demonstrations
austria,2000-10-09,demonstrations
austria,2000-10-09,"confrontations, blockades"
austria,2000-10-09,"confrontations, blockades"
austria,2000-10-09,"confrontations, blockades"
austria,2000-10-11,"confrontations, blockades"
austria,2000-10-11,"confrontations, blockades"
austria,2000-10-11,demonstrations
austria,2000-10-11,"confrontations, blockades"
austria,2000-10-11,"petitions, symbolic actions"
austria,2000-10-11,violent protest
austria,2000-10-11,demonstrations
austria,2000-10-11,demonstrations
austria,2000-10-11,"confrontations, blockades"
austria,2000-10-11,demonstrations
austria,2000-10-13,"confrontations, blockades"
austria,2000-10-13,demonstrations
austria,2000-10-15,demonstrations
austria,2000-10-15,demonstrations
austria,2000-10-15,demonstrations
austria,2000-10-15,demonstrations
austria,2000-10-20,demonstrations
austria,2000-10-20,violent protest
austria,2000-10-21,"petitions, symbolic actions"
austria,2000-10-24,"petitions, symbolic actions"
austria,2000-10-25,"petitions, symbolic actions"
austria,2000-10-26,demonstrations
austria,2000-10-26,demonstrations
austria,2000-10-26,demonstrations
austria,2000-10-27,demonstrations
austria,2000-10-28,demonstrations
austria,2000-10-28,demonstrations
austria,2000-10-29,demonstrations
austria,2000-10-30,"petitions, symbolic actions"
austria,2000-10-30,"petitions, symbolic actions"
austria,2000-10-30,violent protest
austria,2000-10-30,demonstrations
austria,2000-11-01,"confrontations, blockades"
austria,2000-11-02,"confrontations, blockades"
austria,2000-11-02,"confrontations, blockades"
austria,2000-11-02,"confrontations, blockades"
austria,2000-11-04,"confrontations, blockades"
austria,2000-11-04,"confrontations, blockades"
austria,2000-11-04,violent protest
austria,2000-11-04,"confrontations, blockades"
austria,2000-11-06,violent protest
austria,2000-11-06,"confrontations, blockades"
austria,2000-11-06,violent protest
austria,2000-11-07,"confrontations, blockades"
austria,2000-11-08,demonstrations
austria,2000-11-09,demonstrations
austria,2000-11-20,"petitions, symbolic actions"
austria,2000-11-23,demonstrations
austria,2000-11-24,"confrontations, blockades"
austria,2000-11-29,"petitions, symbolic actions"
austria,2000-12-01,demonstrations
austria,2000-12-05,"confrontations, blockades"
austria,2000-12-08,demonstrations
austria,2000-12-12,demonstrations
austria,2000-12-12,"petitions, symbolic actions"
austria,2000-12-14,demonstrations
austria,2000-12-18,"petitions, symbolic actions"
austria,2000-12-18,"petitions, symbolic actions"
austria,2000-12-19,demonstrations
austria,2000-12-19,demonstrations
austria,2000-12-21,demonstrations
austria,2000-12-23,demonstrations
austria,2000-12-27,violent protest
austria,2001-01-01,strikes
austria,2001-01-05,demonstrations
austria,2001-01-07,demonstrations
austria,2001-01-16,demonstrations
austria,2001-01-17,demonstrations
austria,2001-01-18,demonstrations
austria,2001-01-21,violent protest
austria,2001-01-21,demonstrations
austria,2001-02-01,strikes
austria,2001-02-03,demonstrations
austria,2001-02-16,demonstrations
austria,2001-02-16,"confrontations, blockades"
austria,2001-02-16,"confrontations, blockades"
austria,2001-02-17,"confrontations, blockades"
austria,2001-02-18,"confrontations, blockades"
